                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2131,                 3.8808,                 1.1073,                0.73256,                0.52325,                0.58648,                0.46914,                0.82027,                 1.3707,                0.96369,             3.0984e-05,             3.0984e-05,             3.0984e-05
                      2,                0.90027,                 1.6252,                0.97129,                0.88678,                0.78249,                0.86113,                0.72176,                0.67897,                0.78345,                 0.9039,              6.045e-05,              6.045e-05,              6.045e-05
                      3,                0.79544,                 1.0995,                0.92756,                0.90385,                0.88867,                0.93644,                0.80205,                 0.6165,                0.62451,                0.87813,             8.8381e-05,             8.8381e-05,             8.8381e-05
                      4,                  0.738,                0.90048,                0.90707,                0.93372,                0.91697,                0.95844,                0.83441,                0.57578,                0.54078,                0.86367,             8.6095e-05,             8.6095e-05,             8.6095e-05
                      5,                0.70492,                 0.8057,                0.89662,                0.95302,                0.93149,                0.96862,                0.85306,                0.54587,                0.49646,                0.85393,             8.3793e-05,             8.3793e-05,             8.3793e-05
                      6,                0.67531,                 0.7278,                0.88544,                0.95455,                0.94652,                0.97346,                0.86409,                0.52722,                0.45295,                0.84958,             8.1491e-05,             8.1491e-05,             8.1491e-05
                      7,                0.65156,                0.67469,                0.88027,                0.96085,                0.95075,                0.97514,                0.87227,                  0.504,                0.42481,                0.84425,             7.9189e-05,             7.9189e-05,             7.9189e-05
                      8,                0.63466,                0.64506,                0.87443,                0.95339,                0.95934,                0.97654,                0.87578,                0.49251,                0.41014,                 0.8402,             7.6888e-05,             7.6888e-05,             7.6888e-05
                      9,                0.61797,                0.61615,                0.86907,                0.95748,                0.95842,                0.97818,                0.88267,                0.48552,                0.40229,                0.84081,             7.4586e-05,             7.4586e-05,             7.4586e-05
                     10,                0.60463,                0.58633,                0.86532,                0.95944,                0.96762,                0.97974,                0.88587,                0.47856,                0.37726,                0.83675,             7.2284e-05,             7.2284e-05,             7.2284e-05
                     11,                0.59825,                0.57111,                0.86275,                0.97042,                0.95971,                0.98001,                0.88725,                 0.4678,                0.36255,                0.83321,             6.9982e-05,             6.9982e-05,             6.9982e-05
                     12,                0.58064,                0.54257,                0.85586,                0.96598,                0.96908,                0.98119,                0.89547,                 0.4569,                0.35512,                0.82978,             6.7681e-05,             6.7681e-05,             6.7681e-05
                     13,                0.57739,                0.53692,                0.85587,                0.96853,                0.96774,                0.98143,                0.89578,                0.45112,                0.34714,                0.82797,             6.5379e-05,             6.5379e-05,             6.5379e-05
                     14,                0.57278,                0.52362,                0.85531,                0.96813,                0.96849,                0.98053,                0.89985,                0.44028,                0.33813,                0.82566,             6.3077e-05,             6.3077e-05,             6.3077e-05
                     15,                0.56624,                0.50853,                0.85256,                0.97312,                0.97084,                0.98327,                0.90427,                0.43856,                0.32926,                0.82659,             6.0775e-05,             6.0775e-05,             6.0775e-05
                     16,                0.55774,                0.50017,                0.85187,                0.97538,                0.96984,                 0.9842,                0.90415,                0.43644,                 0.3275,                0.82689,             5.8474e-05,             5.8474e-05,             5.8474e-05
                     17,                0.54948,                0.49247,                0.84862,                0.97145,                 0.9735,                0.98474,                0.90657,                0.43098,                0.31826,                 0.8241,             5.6172e-05,             5.6172e-05,             5.6172e-05
                     18,                0.54514,                0.48647,                0.84819,                0.97323,                0.97216,                0.98495,                0.91029,                0.42499,                0.31484,                0.82325,              5.387e-05,              5.387e-05,              5.387e-05
                     19,                0.54154,                0.47578,                 0.8459,                0.97728,                0.97207,                0.98563,                0.91287,                0.42011,                 0.3063,                0.81937,             5.1568e-05,             5.1568e-05,             5.1568e-05
                     20,                0.53631,                0.46649,                0.84374,                0.97613,                0.97427,                0.98643,                0.91236,                0.41815,                0.30687,                0.81879,             4.9267e-05,             4.9267e-05,             4.9267e-05
                     21,                0.53397,                0.46735,                0.84549,                0.97492,                0.97528,                0.98716,                0.91589,                 0.4123,                 0.2985,                0.81651,             4.6965e-05,             4.6965e-05,             4.6965e-05
                     22,                 0.5267,                0.45458,                0.84325,                0.97964,                0.97341,                0.98732,                0.91603,                 0.4136,                0.29532,                0.81821,             4.4663e-05,             4.4663e-05,             4.4663e-05
                     23,                0.52302,                0.44735,                0.84132,                0.98057,                0.97396,                0.98834,                0.92002,                0.40466,                0.28862,                0.81667,             4.2361e-05,             4.2361e-05,             4.2361e-05
                     24,                0.51561,                0.44075,                0.83896,                0.98395,                0.97271,                0.98903,                0.92132,                0.40605,                0.28878,                 0.8163,              4.006e-05,              4.006e-05,              4.006e-05
